simSteps Time(ms) Input(Iapp) Output(V_axon)
734 0.037 0.000 -57.29617684
735 0.037 0.000 -57.29626056
736 0.037 0.000 -57.29634505
737 0.037 0.000 -57.29643031
738 0.037 0.000 -57.29651634
739 0.037 0.000 -57.29660315
740 0.037 0.000 -57.29669073
741 0.037 0.000 -57.29677908
742 0.037 0.000 -57.29686820
743 0.037 0.000 -57.29695810
744 0.037 0.000 -57.29704878
745 0.037 0.000 -57.29714023
746 0.037 0.000 -57.29723246
747 0.037 0.000 -57.29732547
748 0.037 0.000 -57.29741925
749 0.037 0.000 -57.29751381
750 0.037 0.000 -57.29760915
751 0.038 0.000 -57.29770526
752 0.038 0.000 -57.29780216
753 0.038 0.000 -57.29789983
754 0.038 0.000 -57.29799829
755 0.038 0.000 -57.29809752
756 0.038 0.000 -57.29819753
757 0.038 0.000 -57.29829833
758 0.038 0.000 -57.29839990
759 0.038 0.000 -57.29850225
760 0.038 0.000 -57.29860538
761 0.038 0.000 -57.29870930
762 0.038 0.000 -57.29881399
763 0.038 0.000 -57.29891946
764 0.038 0.000 -57.29902572
765 0.038 0.000 -57.29913275
766 0.038 0.000 -57.29924056
767 0.038 0.000 -57.29934916
768 0.038 0.000 -57.29945853
769 0.038 0.000 -57.29956869
770 0.038 0.000 -57.29967962
771 0.039 0.000 -57.29979133
772 0.039 0.000 -57.29990382
773 0.039 0.000 -57.30001709
774 0.039 0.000 -57.30013114
775 0.039 0.000 -57.30024597
776 0.039 0.000 -57.30036158
777 0.039 0.000 -57.30047796
778 0.039 0.000 -57.30059512
779 0.039 0.000 -57.30071306
780 0.039 0.000 -57.30083178
781 0.039 0.000 -57.30095127
782 0.039 0.000 -57.30107153
783 0.039 0.000 -57.30119258
784 0.039 0.000 -57.30131439
785 0.039 0.000 -57.30143698
786 0.039 0.000 -57.30156035
787 0.039 0.000 -57.30168448
788 0.039 0.000 -57.30180939
789 0.039 0.000 -57.30193507
790 0.040 0.000 -57.30206152
791 0.040 0.000 -57.30218874
792 0.040 0.000 -57.30231674
793 0.040 0.000 -57.30244550
794 0.040 0.000 -57.30257502
795 0.040 0.000 -57.30270532
796 0.040 0.000 -57.30283638
797 0.040 0.000 -57.30296821
798 0.040 0.000 -57.30310081
799 0.040 0.000 -57.30323416
800 0.040 0.000 -57.30336828
801 0.040 0.000 -57.30350317
802 0.040 0.000 -57.30363881
803 0.040 0.000 -57.30377522
804 0.040 0.000 -57.30391238
805 0.040 0.000 -57.30405030
806 0.040 0.000 -57.30418898
807 0.040 0.000 -57.30432842
808 0.040 0.000 -57.30446861
809 0.040 0.000 -57.30460956
810 0.041 0.000 -57.30475126
811 0.041 0.000 -57.30489371
